Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
87,DefectX,CuI,0.650125628,0.480527638,1.109752496,0.784282206,0.702311696,0.599246231,0.965883224
88,DefectX,CuI,0.638819095,0.486180905,1.109752496,0.840665289,0.3871004,0.570979899,0.965883224
89,DefectX,CuI,0.638819095,0.491834171,1.189534067,0.840665289,0.475626305,0.565326633,0.965883224
90,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
91,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
92,CuI,Mo,0.293969849,0.27701005,31.07866188,16.63816886,2.856489773,0.282663317,25.2353917
93,CuI,Mo,0.293969849,0.265703518,43.97603609,19.11644075,1.804956096,0.282663317,25.2353917
94,CuI,Mo,0.288316583,0.265703518,43.97603609,21.96385372,1.481397948,0.282663317,27.0495973
95,CuI,Mo,0.288316583,0.271356784,38.27494479,21.96385372,1.40609864,0.27701005,31.07866188
96,Mo,CuI,0.288316583,0.271356784,38.27494479,21.96385372,1.253433664,0.27701005,31.07866188
97,Mo,CuI,0.288316583,0.271356784,38.27494479,23.54286414,1.281760189,0.27701005,31.07866188
98,Mo,CuI,0.288316583,0.271356784,41.02658106,23.54286414,1.270541624,0.27701005,33.31294788
99,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
100,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
101,CuI,PtI,0.927135678,0.887562814,0.085044893,0.032176418,0.356013412,0.904522613,0.056071699
102,CuI,PtI,0.921482412,0.881909548,0.097712415,0.036969127,0.456995958,0.904522613,0.056071699
103,CuI,PtI,0.921482412,0.876256281,0.120337784,0.036969127,0.910114868,0.898869347,0.064423635
104,CuI,PtI,0.915829146,0.876256281,0.120337784,0.042475716,0.831365888,0.898869347,0.069055135
105,PtI,CuI,0.915829146,0.864949749,0.158856513,0.045529351,1.366335555,0.881909548,0.10473709
106,PtI,CuI,0.904522613,0.853643216,0.240940356,0.064423635,1.867519111,0.876256281,0.128989026
107,PtI,CuI,0.89321608,0.842336683,0.365438307,0.097712415,3.021695359,0.864949749,0.195639834
108,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
